StartTime,EndTime,AreaID,UnitName,Load
2022-01-02T11:00+00:00Z,2022-01-02T12:00+00:00Z,10Y1001A1001A65H,MAW,4212
2022-01-02T12:00+00:00Z,2022-01-02T13:00+00:00Z,10Y1001A1001A65H,MAW,4191
2022-01-02T13:00+00:00Z,2022-01-02T14:00+00:00Z,10Y1001A1001A65H,MAW,4301
2022-01-02T14:00+00:00Z,2022-01-02T15:00+00:00Z,10Y1001A1001A65H,MAW,4521
2022-01-02T15:00+00:00Z,2022-01-02T16:00+00:00Z,10Y1001A1001A65H,MAW,4873
2022-01-02T16:00+00:00Z,2022-01-02T17:00+00:00Z,10Y1001A1001A65H,MAW,4735
2022-01-02T17:00+00:00Z,2022-01-02T18:00+00:00Z,10Y1001A1001A65H,MAW,4433
2022-01-02T18:00+00:00Z,2022-01-02T19:00+00:00Z,10Y1001A1001A65H,MAW,4183
2022-01-02T19:00+00:00Z,2022-01-02T20:00+00:00Z,10Y1001A1001A65H,MAW,3974
2022-01-02T20:00+00:00Z,2022-01-02T21:00+00:00Z,10Y1001A1001A65H,MAW,3769
2022-01-02T21:00+00:00Z,2022-01-02T22:00+00:00Z,10Y1001A1001A65H,MAW,3559
2022-01-02T22:00+00:00Z,2022-01-02T23:00+00:00Z,10Y1001A1001A65H,MAW,3394
2022-01-02T23:00+00:00Z,2022-01-03T00:00+00:00Z,10Y1001A1001A65H,MAW,3345
2022-01-03T00:00+00:00Z,2022-01-03T01:00+00:00Z,10Y1001A1001A65H,MAW,3308
2022-01-03T01:00+00:00Z,2022-01-03T02:00+00:00Z,10Y1001A1001A65H,MAW,3285
2022-01-03T02:00+00:00Z,2022-01-03T03:00+00:00Z,10Y1001A1001A65H,MAW,3361
2022-01-03T03:00+00:00Z,2022-01-03T04:00+00:00Z,10Y1001A1001A65H,MAW,3584
2022-01-03T04:00+00:00Z,2022-01-03T05:00+00:00Z,10Y1001A1001A65H,MAW,4201
2022-01-03T05:00+00:00Z,2022-01-03T06:00+00:00Z,10Y1001A1001A65H,MAW,4772
2022-01-03T06:00+00:00Z,2022-01-03T07:00+00:00Z,10Y1001A1001A65H,MAW,5079
2022-01-03T07:00+00:00Z,2022-01-03T08:00+00:00Z,10Y1001A1001A65H,MAW,5072
2022-01-03T08:00+00:00Z,2022-01-03T09:00+00:00Z,10Y1001A1001A65H,MAW,5190
2022-01-03T09:00+00:00Z,2022-01-03T10:00+00:00Z,10Y1001A1001A65H,MAW,5246
2022-01-03T10:00+00:00Z,2022-01-03T11:00+00:00Z,10Y1001A1001A65H,MAW,5134
2022-01-03T11:00+00:00Z,2022-01-03T12:00+00:00Z,10Y1001A1001A65H,MAW,5078
2022-01-03T12:00+00:00Z,2022-01-03T13:00+00:00Z,10Y1001A1001A65H,MAW,5043
2022-01-03T13:00+00:00Z,2022-01-03T14:00+00:00Z,10Y1001A1001A65H,MAW,5021
2022-01-03T14:00+00:00Z,2022-01-03T15:00+00:00Z,10Y1001A1001A65H,MAW,5200
2022-01-03T15:00+00:00Z,2022-01-03T16:00+00:00Z,10Y1001A1001A65H,MAW,5535
2022-01-03T16:00+00:00Z,2022-01-03T17:00+00:00Z,10Y1001A1001A65H,MAW,5326
2022-01-03T17:00+00:00Z,2022-01-03T18:00+00:00Z,10Y1001A1001A65H,MAW,4973
2022-01-03T18:00+00:00Z,2022-01-03T19:00+00:00Z,10Y1001A1001A65H,MAW,4586
2022-01-03T19:00+00:00Z,2022-01-03T20:00+00:00Z,10Y1001A1001A65H,MAW,4316
2022-01-03T20:00+00:00Z,2022-01-03T21:00+00:00Z,10Y1001A1001A65H,MAW,4040
2022-01-03T21:00+00:00Z,2022-01-03T22:00+00:00Z,10Y1001A1001A65H,MAW,3758
2022-01-03T22:00+00:00Z,2022-01-03T23:00+00:00Z,10Y1001A1001A65H,MAW,3577
2022-01-03T23:00+00:00Z,2022-01-04T00:00+00:00Z,10Y1001A1001A65H,MAW,3488
2022-01-04T00:00+00:00Z,2022-01-04T01:00+00:00Z,10Y1001A1001A65H,MAW,3429
2022-01-04T01:00+00:00Z,2022-01-04T02:00+00:00Z,10Y1001A1001A65H,MAW,3454
2022-01-04T02:00+00:00Z,2022-01-04T03:00+00:00Z,10Y1001A1001A65H,MAW,3528
2022-01-04T03:00+00:00Z,2022-01-04T04:00+00:00Z,10Y1001A1001A65H,MAW,3716
2022-01-04T04:00+00:00Z,2022-01-04T05:00+00:00Z,10Y1001A1001A65H,MAW,4255
2022-01-04T05:00+00:00Z,2022-01-04T06:00+00:00Z,10Y1001A1001A65H,MAW,4878
2022-01-04T06:00+00:00Z,2022-01-04T07:00+00:00Z,10Y1001A1001A65H,MAW,5205
2022-01-04T07:00+00:00Z,2022-01-04T08:00+00:00Z,10Y1001A1001A65H,MAW,5238
2022-01-04T08:00+00:00Z,2022-01-04T09:00+00:00Z,10Y1001A1001A65H,MAW,5314
2022-01-04T09:00+00:00Z,2022-01-04T10:00+00:00Z,10Y1001A1001A65H,MAW,5333
2022-01-04T10:00+00:00Z,2022-01-04T11:00+00:00Z,10Y1001A1001A65H,MAW,5260
2022-01-04T11:00+00:00Z,2022-01-04T12:00+00:00Z,10Y1001A1001A65H,MAW,5227
2022-01-04T12:00+00:00Z,2022-01-04T13:00+00:00Z,10Y1001A1001A65H,MAW,5188
2022-01-04T13:00+00:00Z,2022-01-04T14:00+00:00Z,10Y1001A1001A65H,MAW,5091
2022-01-04T14:00+00:00Z,2022-01-04T15:00+00:00Z,10Y1001A1001A65H,MAW,5299
2022-01-04T15:00+00:00Z,2022-01-04T16:00+00:00Z,10Y1001A1001A65H,MAW,5641
2022-01-04T16:00+00:00Z,2022-01-04T17:00+00:00Z,10Y1001A1001A65H,MAW,5430
2022-01-04T17:00+00:00Z,2022-01-04T18:00+00:00Z,10Y1001A1001A65H,MAW,5147
2022-01-04T18:00+00:00Z,2022-01-04T19:00+00:00Z,10Y1001A1001A65H,MAW,4855
2022-01-04T19:00+00:00Z,2022-01-04T20:00+00:00Z,10Y1001A1001A65H,MAW,4594
2022-01-04T20:00+00:00Z,2022-01-04T21:00+00:00Z,10Y1001A1001A65H,MAW,4322
2022-01-04T21:00+00:00Z,2022-01-04T22:00+00:00Z,10Y1001A1001A65H,MAW,4036
2022-01-04T22:00+00:00Z,2022-01-04T23:00+00:00Z,10Y1001A1001A65H,MAW,3905
2022-01-04T23:00+00:00Z,2022-01-05T00:00+00:00Z,10Y1001A1001A65H,MAW,3780
2022-01-05T00:00+00:00Z,2022-01-05T01:00+00:00Z,10Y1001A1001A65H,MAW,3879
2022-01-05T01:00+00:00Z,2022-01-05T02:00+00:00Z,10Y1001A1001A65H,MAW,3864
2022-01-05T02:00+00:00Z,2022-01-05T03:00+00:00Z,10Y1001A1001A65H,MAW,3871
2022-01-05T03:00+00:00Z,2022-01-05T04:00+00:00Z,10Y1001A1001A65H,MAW,3959
2022-01-05T04:00+00:00Z,2022-01-05T05:00+00:00Z,10Y1001A1001A65H,MAW,4512
2022-01-05T05:00+00:00Z,2022-01-05T06:00+00:00Z,10Y1001A1001A65H,MAW,5145
2022-01-05T06:00+00:00Z,2022-01-05T07:00+00:00Z,10Y1001A1001A65H,MAW,5389
2022-01-05T07:00+00:00Z,2022-01-05T08:00+00:00Z,10Y1001A1001A65H,MAW,5428
2022-01-05T08:00+00:00Z,2022-01-05T09:00+00:00Z,10Y1001A1001A65H,MAW,5469
2022-01-05T09:00+00:00Z,2022-01-05T10:00+00:00Z,10Y1001A1001A65H,MAW,5472
2022-01-05T10:00+00:00Z,2022-01-05T11:00+00:00Z,10Y1001A1001A65H,MAW,5433
2022-01-05T11:00+00:00Z,2022-01-05T12:00+00:00Z,10Y1001A1001A65H,MAW,5414
2022-01-05T12:00+00:00Z,2022-01-05T13:00+00:00Z,10Y1001A1001A65H,MAW,5362
2022-01-05T13:00+00:00Z,2022-01-05T14:00+00:00Z,10Y1001A1001A65H,MAW,5284
2022-01-05T14:00+00:00Z,2022-01-05T15:00+00:00Z,10Y1001A1001A65H,MAW,5458
2022-01-05T15:00+00:00Z,2022-01-05T16:00+00:00Z,10Y1001A1001A65H,MAW,5818
2022-01-05T16:00+00:00Z,2022-01-05T17:00+00:00Z,10Y1001A1001A65H,MAW,5596
2022-01-05T17:00+00:00Z,2022-01-05T18:00+00:00Z,10Y1001A1001A65H,MAW,5287
2022-01-05T18:00+00:00Z,2022-01-05T19:00+00:00Z,10Y1001A1001A65H,MAW,5031
2022-01-05T19:00+00:00Z,2022-01-05T20:00+00:00Z,10Y1001A1001A65H,MAW,4844
2022-01-05T20:00+00:00Z,2022-01-05T21:00+00:00Z,10Y1001A1001A65H,MAW,4572
2022-01-05T21:00+00:00Z,2022-01-05T22:00+00:00Z,10Y1001A1001A65H,MAW,4315
2022-01-05T22:00+00:00Z,2022-01-05T23:00+00:00Z,10Y1001A1001A65H,MAW,4051
2022-01-05T23:00+00:00Z,2022-01-06T00:00+00:00Z,10Y1001A1001A65H,MAW,3967
2022-01-06T00:00+00:00Z,2022-01-06T01:00+00:00Z,10Y1001A1001A65H,MAW,3895
2022-01-06T01:00+00:00Z,2022-01-06T02:00+00:00Z,10Y1001A1001A65H,MAW,3864
2022-01-06T02:00+00:00Z,2022-01-06T03:00+00:00Z,10Y1001A1001A65H,MAW,3941
2022-01-06T03:00+00:00Z,2022-01-06T04:00+00:00Z,10Y1001A1001A65H,MAW,4163
2022-01-06T04:00+00:00Z,2022-01-06T05:00+00:00Z,10Y1001A1001A65H,MAW,4765
2022-01-06T05:00+00:00Z,2022-01-06T06:00+00:00Z,10Y1001A1001A65H,MAW,5371
2022-01-06T06:00+00:00Z,2022-01-06T07:00+00:00Z,10Y1001A1001A65H,MAW,5633
2022-01-06T07:00+00:00Z,2022-01-06T08:00+00:00Z,10Y1001A1001A65H,MAW,5608
2022-01-06T08:00+00:00Z,2022-01-06T09:00+00:00Z,10Y1001A1001A65H,MAW,5592
2022-01-06T09:00+00:00Z,2022-01-06T10:00+00:00Z,10Y1001A1001A65H,MAW,5447
2022-01-06T10:00+00:00Z,2022-01-06T11:00+00:00Z,10Y1001A1001A65H,MAW,5326
2022-01-06T11:00+00:00Z,2022-01-06T12:00+00:00Z,10Y1001A1001A65H,MAW,5293
2022-01-06T12:00+00:00Z,2022-01-06T13:00+00:00Z,10Y1001A1001A65H,MAW,5205
2022-01-06T13:00+00:00Z,2022-01-06T14:00+00:00Z,10Y1001A1001A65H,MAW,5163
2022-01-06T14:00+00:00Z,2022-01-06T15:00+00:00Z,10Y1001A1001A65H,MAW,5410
2022-01-06T15:00+00:00Z,2022-01-06T16:00+00:00Z,10Y1001A1001A65H,MAW,5817
2022-01-06T16:00+00:00Z,2022-01-06T17:00+00:00Z,10Y1001A1001A65H,MAW,5655
2022-01-06T17:00+00:00Z,2022-01-06T18:00+00:00Z,10Y1001A1001A65H,MAW,5309
2022-01-06T18:00+00:00Z,2022-01-06T19:00+00:00Z,10Y1001A1001A65H,MAW,5009
2022-01-06T19:00+00:00Z,2022-01-06T20:00+00:00Z,10Y1001A1001A65H,MAW,4730
2022-01-06T20:00+00:00Z,2022-01-06T21:00+00:00Z,10Y1001A1001A65H,MAW,4498
2022-01-06T21:00+00:00Z,2022-01-06T22:00+00:00Z,10Y1001A1001A65H,MAW,4232
2022-01-06T22:00+00:00Z,2022-01-06T23:00+00:00Z,10Y1001A1001A65H,MAW,3987
2022-01-06T23:00+00:00Z,2022-01-07T00:00+00:00Z,10Y1001A1001A65H,MAW,3853
2022-01-07T00:00+00:00Z,2022-01-07T01:00+00:00Z,10Y1001A1001A65H,MAW,3869
2022-01-07T01:00+00:00Z,2022-01-07T02:00+00:00Z,10Y1001A1001A65H,MAW,3872
2022-01-07T02:00+00:00Z,2022-01-07T03:00+00:00Z,10Y1001A1001A65H,MAW,3852
2022-01-07T03:00+00:00Z,2022-01-07T04:00+00:00Z,10Y1001A1001A65H,MAW,4171
2022-01-07T04:00+00:00Z,2022-01-07T05:00+00:00Z,10Y1001A1001A65H,MAW,4794
2022-01-07T05:00+00:00Z,2022-01-07T06:00+00:00Z,10Y1001A1001A65H,MAW,5394
2022-01-07T06:00+00:00Z,2022-01-07T07:00+00:00Z,10Y1001A1001A65H,MAW,5609
2022-01-07T07:00+00:00Z,2022-01-07T08:00+00:00Z,10Y1001A1001A65H,MAW,5619
2022-01-07T08:00+00:00Z,2022-01-07T09:00+00:00Z,10Y1001A1001A65H,MAW,5591
2022-01-07T09:00+00:00Z,2022-01-07T10:00+00:00Z,10Y1001A1001A65H,MAW,5597
2022-01-07T10:00+00:00Z,2022-01-07T11:00+00:00Z,10Y1001A1001A65H,MAW,5519
2022-01-07T11:00+00:00Z,2022-01-07T12:00+00:00Z,10Y1001A1001A65H,MAW,5388
2022-01-07T12:00+00:00Z,2022-01-07T13:00+00:00Z,10Y1001A1001A65H,MAW,5191
2022-01-07T13:00+00:00Z,2022-01-07T14:00+00:00Z,10Y1001A1001A65H,MAW,5138
2022-01-07T14:00+00:00Z,2022-01-07T15:00+00:00Z,10Y1001A1001A65H,MAW,5283
2022-01-07T15:00+00:00Z,2022-01-07T16:00+00:00Z,10Y1001A1001A65H,MAW,5579
2022-01-07T16:00+00:00Z,2022-01-07T17:00+00:00Z,10Y1001A1001A65H,MAW,5438
2022-01-07T17:00+00:00Z,2022-01-07T18:00+00:00Z,10Y1001A1001A65H,MAW,5066
2022-01-07T18:00+00:00Z,2022-01-07T19:00+00:00Z,10Y1001A1001A65H,MAW,4717
2022-01-07T19:00+00:00Z,2022-01-07T20:00+00:00Z,10Y1001A1001A65H,MAW,4432
2022-01-07T20:00+00:00Z,2022-01-07T21:00+00:00Z,10Y1001A1001A65H,MAW,4267
2022-01-07T21:00+00:00Z,2022-01-07T22:00+00:00Z,10Y1001A1001A65H,MAW,3991
2022-01-07T22:00+00:00Z,2022-01-07T23:00+00:00Z,10Y1001A1001A65H,MAW,3824
2022-01-07T23:00+00:00Z,2022-01-08T00:00+00:00Z,10Y1001A1001A65H,MAW,3685
2022-01-08T00:00+00:00Z,2022-01-08T01:00+00:00Z,10Y1001A1001A65H,MAW,3584
2022-01-08T01:00+00:00Z,2022-01-08T02:00+00:00Z,10Y1001A1001A65H,MAW,3533
2022-01-08T02:00+00:00Z,2022-01-08T03:00+00:00Z,10Y1001A1001A65H,MAW,3529
2022-01-08T03:00+00:00Z,2022-01-08T04:00+00:00Z,10Y1001A1001A65H,MAW,3600
2022-01-08T04:00+00:00Z,2022-01-08T05:00+00:00Z,10Y1001A1001A65H,MAW,3788
2022-01-08T05:00+00:00Z,2022-01-08T06:00+00:00Z,10Y1001A1001A65H,MAW,4014
2022-01-08T06:00+00:00Z,2022-01-08T07:00+00:00Z,10Y1001A1001A65H,MAW,4328
2022-01-08T07:00+00:00Z,2022-01-08T08:00+00:00Z,10Y1001A1001A65H,MAW,4580
2022-01-08T08:00+00:00Z,2022-01-08T09:00+00:00Z,10Y1001A1001A65H,MAW,4783
2022-01-08T09:00+00:00Z,2022-01-08T10:00+00:00Z,10Y1001A1001A65H,MAW,4768
2022-01-08T10:00+00:00Z,2022-01-08T11:00+00:00Z,10Y1001A1001A65H,MAW,4645
2022-01-08T11:00+00:00Z,2022-01-08T12:00+00:00Z,10Y1001A1001A65H,MAW,4578
2022-01-08T12:00+00:00Z,2022-01-08T13:00+00:00Z,10Y1001A1001A65H,MAW,4535
2022-01-08T13:00+00:00Z,2022-01-08T14:00+00:00Z,10Y1001A1001A65H,MAW,4581
2022-01-08T14:00+00:00Z,2022-01-08T15:00+00:00Z,10Y1001A1001A65H,MAW,4834
2022-01-08T15:00+00:00Z,2022-01-08T16:00+00:00Z,10Y1001A1001A65H,MAW,5239
2022-01-08T16:00+00:00Z,2022-01-08T17:00+00:00Z,10Y1001A1001A65H,MAW,5146
2022-01-08T17:00+00:00Z,2022-01-08T18:00+00:00Z,10Y1001A1001A65H,MAW,4788
2022-01-08T18:00+00:00Z,2022-01-08T19:00+00:00Z,10Y1001A1001A65H,MAW,4523
2022-01-08T19:00+00:00Z,2022-01-08T20:00+00:00Z,10Y1001A1001A65H,MAW,4330
2022-01-08T20:00+00:00Z,2022-01-08T21:00+00:00Z,10Y1001A1001A65H,MAW,4159
2022-01-08T21:00+00:00Z,2022-01-08T22:00+00:00Z,10Y1001A1001A65H,MAW,3981
2022-01-08T22:00+00:00Z,2022-01-08T23:00+00:00Z,10Y1001A1001A65H,MAW,3915
2022-01-08T23:00+00:00Z,2022-01-09T00:00+00:00Z,10Y1001A1001A65H,MAW,3813
2022-01-09T00:00+00:00Z,2022-01-09T01:00+00:00Z,10Y1001A1001A65H,MAW,3723
2022-01-09T01:00+00:00Z,2022-01-09T02:00+00:00Z,10Y1001A1001A65H,MAW,3759
2022-01-09T02:00+00:00Z,2022-01-09T03:00+00:00Z,10Y1001A1001A65H,MAW,3755
2022-01-09T03:00+00:00Z,2022-01-09T04:00+00:00Z,10Y1001A1001A65H,MAW,3805
2022-01-09T04:00+00:00Z,2022-01-09T05:00+00:00Z,10Y1001A1001A65H,MAW,3892
2022-01-09T05:00+00:00Z,2022-01-09T06:00+00:00Z,10Y1001A1001A65H,MAW,4045
2022-01-09T06:00+00:00Z,2022-01-09T07:00+00:00Z,10Y1001A1001A65H,MAW,4322
2022-01-09T07:00+00:00Z,2022-01-09T08:00+00:00Z,10Y1001A1001A65H,MAW,4486
2022-01-09T08:00+00:00Z,2022-01-09T09:00+00:00Z,10Y1001A1001A65H,MAW,4651
2022-01-09T09:00+00:00Z,2022-01-09T10:00+00:00Z,10Y1001A1001A65H,MAW,4716
2022-01-09T10:00+00:00Z,2022-01-09T11:00+00:00Z,10Y1001A1001A65H,MAW,4724
2022-01-09T11:00+00:00Z,2022-01-09T12:00+00:00Z,10Y1001A1001A65H,MAW,4655
2022-01-09T12:00+00:00Z,2022-01-09T13:00+00:00Z,10Y1001A1001A65H,MAW,4602
2022-01-09T13:00+00:00Z,2022-01-09T14:00+00:00Z,10Y1001A1001A65H,MAW,4646
2022-01-09T14:00+00:00Z,2022-01-09T15:00+00:00Z,10Y1001A1001A65H,MAW,4819
2022-01-09T15:00+00:00Z,2022-01-09T16:00+00:00Z,10Y1001A1001A65H,MAW,5241
2022-01-09T16:00+00:00Z,2022-01-09T17:00+00:00Z,10Y1001A1001A65H,MAW,5106
2022-01-09T17:00+00:00Z,2022-01-09T18:00+00:00Z,10Y1001A1001A65H,MAW,4812
2022-01-09T18:00+00:00Z,2022-01-09T19:00+00:00Z,10Y1001A1001A65H,MAW,4617
2022-01-09T19:00+00:00Z,2022-01-09T20:00+00:00Z,10Y1001A1001A65H,MAW,4342
2022-01-09T20:00+00:00Z,2022-01-09T21:00+00:00Z,10Y1001A1001A65H,MAW,4114
2022-01-09T21:00+00:00Z,2022-01-09T22:00+00:00Z,10Y1001A1001A65H,MAW,3893
2022-01-09T22:00+00:00Z,2022-01-09T23:00+00:00Z,10Y1001A1001A65H,MAW,3720
2022-01-09T23:00+00:00Z,2022-01-10T00:00+00:00Z,10Y1001A1001A65H,MAW,3619
2022-01-10T00:00+00:00Z,2022-01-10T01:00+00:00Z,10Y1001A1001A65H,MAW,3560
2022-01-10T01:00+00:00Z,2022-01-10T02:00+00:00Z,10Y1001A1001A65H,MAW,3545
2022-01-10T02:00+00:00Z,2022-01-10T03:00+00:00Z,10Y1001A1001A65H,MAW,3666
2022-01-10T03:00+00:00Z,2022-01-10T04:00+00:00Z,10Y1001A1001A65H,MAW,3925
2022-01-10T04:00+00:00Z,2022-01-10T05:00+00:00Z,10Y1001A1001A65H,MAW,4531
2022-01-10T05:00+00:00Z,2022-01-10T06:00+00:00Z,10Y1001A1001A65H,MAW,5132
2022-01-10T06:00+00:00Z,2022-01-10T07:00+00:00Z,10Y1001A1001A65H,MAW,5384
2022-01-10T07:00+00:00Z,2022-01-10T08:00+00:00Z,10Y1001A1001A65H,MAW,5344
2022-01-10T08:00+00:00Z,2022-01-10T09:00+00:00Z,10Y1001A1001A65H,MAW,5369
2022-01-10T09:00+00:00Z,2022-01-10T10:00+00:00Z,10Y1001A1001A65H,MAW,5342
2022-01-10T10:00+00:00Z,2022-01-10T11:00+00:00Z,10Y1001A1001A65H,MAW,5193
2022-01-10T11:00+00:00Z,2022-01-10T12:00+00:00Z,10Y1001A1001A65H,MAW,5252
2022-01-10T12:00+00:00Z,2022-01-10T13:00+00:00Z,10Y1001A1001A65H,MAW,5191
2022-01-10T13:00+00:00Z,2022-01-10T14:00+00:00Z,10Y1001A1001A65H,MAW,5105
2022-01-10T14:00+00:00Z,2022-01-10T15:00+00:00Z,10Y1001A1001A65H,MAW,5318
2022-01-10T15:00+00:00Z,2022-01-10T16:00+00:00Z,10Y1001A1001A65H,MAW,5641
2022-01-10T16:00+00:00Z,2022-01-10T17:00+00:00Z,10Y1001A1001A65H,MAW,5485
2022-01-10T17:00+00:00Z,2022-01-10T18:00+00:00Z,10Y1001A1001A65H,MAW,5129
2022-01-10T18:00+00:00Z,2022-01-10T19:00+00:00Z,10Y1001A1001A65H,MAW,4903
2022-01-10T19:00+00:00Z,2022-01-10T20:00+00:00Z,10Y1001A1001A65H,MAW,4673
2022-01-10T20:00+00:00Z,2022-01-10T21:00+00:00Z,10Y1001A1001A65H,MAW,4426
2022-01-10T21:00+00:00Z,2022-01-10T22:00+00:00Z,10Y1001A1001A65H,MAW,4165
2022-01-10T22:00+00:00Z,2022-01-10T23:00+00:00Z,10Y1001A1001A65H,MAW,3930
2022-01-10T23:00+00:00Z,2022-01-11T00:00+00:00Z,10Y1001A1001A65H,MAW,3816
2022-01-11T00:00+00:00Z,2022-01-11T01:00+00:00Z,10Y1001A1001A65H,MAW,3767
2022-01-11T01:00+00:00Z,2022-01-11T02:00+00:00Z,10Y1001A1001A65H,MAW,3744
2022-01-11T02:00+00:00Z,2022-01-11T03:00+00:00Z,10Y1001A1001A65H,MAW,3803
2022-01-11T03:00+00:00Z,2022-01-11T04:00+00:00Z,10Y1001A1001A65H,MAW,4051
2022-01-11T04:00+00:00Z,2022-01-11T05:00+00:00Z,10Y1001A1001A65H,MAW,4659
2022-01-11T05:00+00:00Z,2022-01-11T06:00+00:00Z,10Y1001A1001A65H,MAW,5287
2022-01-11T06:00+00:00Z,2022-01-11T07:00+00:00Z,10Y1001A1001A65H,MAW,5517
2022-01-11T07:00+00:00Z,2022-01-11T08:00+00:00Z,10Y1001A1001A65H,MAW,5498
2022-01-11T08:00+00:00Z,2022-01-11T09:00+00:00Z,10Y1001A1001A65H,MAW,5569
2022-01-11T09:00+00:00Z,2022-01-11T10:00+00:00Z,10Y1001A1001A65H,MAW,5535
2022-01-11T10:00+00:00Z,2022-01-11T11:00+00:00Z,10Y1001A1001A65H,MAW,5419
2022-01-11T11:00+00:00Z,2022-01-11T12:00+00:00Z,10Y1001A1001A65H,MAW,5394
2022-01-11T12:00+00:00Z,2022-01-11T13:00+00:00Z,10Y1001A1001A65H,MAW,5339
2022-01-11T13:00+00:00Z,2022-01-11T14:00+00:00Z,10Y1001A1001A65H,MAW,5265
2022-01-11T14:00+00:00Z,2022-01-11T15:00+00:00Z,10Y1001A1001A65H,MAW,5471
2022-01-11T15:00+00:00Z,2022-01-11T16:00+00:00Z,10Y1001A1001A65H,MAW,5794
2022-01-11T16:00+00:00Z,2022-01-11T17:00+00:00Z,10Y1001A1001A65H,MAW,5563
2022-01-11T17:00+00:00Z,2022-01-11T18:00+00:00Z,10Y1001A1001A65H,MAW,5177
2022-01-11T18:00+00:00Z,2022-01-11T19:00+00:00Z,10Y1001A1001A65H,MAW,4875
2022-01-11T19:00+00:00Z,2022-01-11T20:00+00:00Z,10Y1001A1001A65H,MAW,4629
2022-01-11T20:00+00:00Z,2022-01-11T21:00+00:00Z,10Y1001A1001A65H,MAW,4362
2022-01-11T21:00+00:00Z,2022-01-11T22:00+00:00Z,10Y1001A1001A65H,MAW,4076
